K	CI	Weighting	J_pi_b	J_pi_e	J_hat_pi_e
0	CH	IS	0.533240225762886	0.523964383547833	0.23483641407589056
100	CH	IS	0.533240225762886	0.523964383547833	0.29206546786412185
200	CH	IS	0.533240225762886	0.523964383547833	0.34918036373069894
300	CH	IS	0.533240225762886	0.523964383547833	0.4061814430177973
400	CH	IS	0.533240225762886	0.523964383547833	0.4630690457079302
500	CH	IS	0.533240225762886	0.523964383547833	0.5198435104307123
600	CH	IS	0.533240225762886	0.523964383547833	0.5765051744695834
700	CH	IS	0.533240225762886	0.523964383547833	0.633054373768491
800	CH	IS	0.533240225762886	0.523964383547833	0.6894914429385339
900	CH	IS	0.533240225762886	0.523964383547833	0.745816715264566
1000	CH	IS	0.533240225762886	0.523964383547833	0.8020305227117615
1100	CH	IS	0.533240225762886	0.523964383547833	0.8581331959321399
1200	CH	IS	0.533240225762886	0.523964383547833	0.914125064271053
1300	CH	IS	0.533240225762886	0.523964383547833	0.9700064557736348
1400	CH	IS	0.533240225762886	0.523964383547833	1.0257776971912096
1500	CH	IS	0.533240225762886	0.523964383547833	1.0814391139876671
1600	CH	IS	0.533240225762886	0.523964383547833	1.1369910303457957
1700	CH	IS	0.533240225762886	0.523964383547833	1.1924337691735802
1800	CH	IS	0.533240225762886	0.523964383547833	1.2477676521104635
1900	CH	IS	0.533240225762886	0.523964383547833	1.3029929995335674
2000	CH	IS	0.533240225762886	0.523964383547833	1.358110130563884
2100	CH	IS	0.533240225762886	0.523964383547833	1.413119363072422
2200	CH	IS	0.533240225762886	0.523964383547833	1.468021013686323
2300	CH	IS	0.533240225762886	0.523964383547833	1.522815397794941
2400	CH	IS	0.533240225762886	0.523964383547833	1.5775028295558837
2500	CH	IS	0.533240225762886	0.523964383547833	1.632083621901022
2600	CH	IS	0.533240225762886	0.523964383547833	1.6865580865424605
2700	CH	IS	0.533240225762886	0.523964383547833	1.7409265339784779
2800	CH	IS	0.533240225762886	0.523964383547833	1.7951892734994268
2900	CH	IS	0.533240225762886	0.523964383547833	1.8493466131936052
3000	CH	IS	0.533240225762886	0.523964383547833	1.9033988599530873
3100	CH	IS	0.533240225762886	0.523964383547833	1.9573463194795298
3200	CH	IS	0.533240225762886	0.523964383547833	2.0111892962899325
3300	CH	IS	0.533240225762886	0.523964383547833	2.0649280937223744
3400	CH	IS	0.533240225762886	0.523964383547833	2.1185630139417144
3500	CH	IS	0.533240225762886	0.523964383547833	2.172094357945257
3600	CH	IS	0.533240225762886	0.523964383547833	2.2255224255683865
3700	CH	IS	0.533240225762886	0.523964383547833	2.278847515490168
3800	CH	IS	0.533240225762886	0.523964383547833	2.332069925238919
3900	CH	IS	0.533240225762886	0.523964383547833	2.3851899511977432
4000	CH	IS	0.533240225762886	0.523964383547833	2.4382078886100382
4100	CH	IS	0.533240225762886	0.523964383547833	2.4911240315849663
4200	CH	IS	0.533240225762886	0.523964383547833	2.543938673102899
4300	CH	IS	0.533240225762886	0.523964383547833	2.5966521050208256
4400	CH	IS	0.533240225762886	0.523964383547833	2.6492646180777335
4500	CH	IS	0.533240225762886	0.523964383547833	2.7017765018999564
4600	CH	IS	0.533240225762886	0.523964383547833	2.7541880450064924
4700	CH	IS	0.533240225762886	0.523964383547833	2.806499534814291
4800	CH	IS	0.533240225762886	0.523964383547833	2.858711257643511
4900	CH	IS	0.533240225762886	0.523964383547833	2.910823498722746
5000	CH	IS	0.533240225762886	0.523964383547833	2.9628365421942235
5100	CH	IS	0.533240225762886	0.523964383547833	3.0147506711189713
5200	CH	IS	0.533240225762886	0.523964383547833	3.066566167481956
5300	CH	IS	0.533240225762886	0.523964383547833	3.1182833121971925
5400	CH	IS	0.533240225762886	0.523964383547833	3.1699023851128203
5500	CH	IS	0.533240225762886	0.523964383547833	3.221423665016158
5600	CH	IS	0.533240225762886	0.523964383547833	3.272847429638726
5700	CH	IS	0.533240225762886	0.523964383547833	3.3241739556612373
5800	CH	IS	0.533240225762886	0.523964383547833	3.3754035187185627
5900	CH	IS	0.533240225762886	0.523964383547833	3.42653639340467
6000	CH	IS	0.533240225762886	0.523964383547833	3.477572853277533
6100	CH	IS	0.533240225762886	0.523964383547833	3.5285131708640107
6200	CH	IS	0.533240225762886	0.523964383547833	3.579357617664705
6300	CH	IS	0.533240225762886	0.523964383547833	3.6301064641587835
6400	CH	IS	0.533240225762886	0.523964383547833	3.680759979808781
6500	CH	IS	0.533240225762886	0.523964383547833	3.7313184330653706
6600	CH	IS	0.533240225762886	0.523964383547833	3.7817820913721096
6700	CH	IS	0.533240225762886	0.523964383547833	3.8321512211701605
6800	CH	IS	0.533240225762886	0.523964383547833	3.882426087902976
6900	CH	IS	0.533240225762886	0.523964383547833	3.9326069560209747
7000	CH	IS	0.533240225762886	0.523964383547833	3.982694088986173
7100	CH	IS	0.533240225762886	0.523964383547833	4.032687749276803
7200	CH	IS	0.533240225762886	0.523964383547833	4.0825881983919
7300	CH	IS	0.533240225762886	0.523964383547833	4.13239569685586
7400	CH	IS	0.533240225762886	0.523964383547833	4.182110504222983
7500	CH	IS	0.533240225762886	0.523964383547833	4.231732879081984
7600	CH	IS	0.533240225762886	0.523964383547833	4.281263079060474
7700	CH	IS	0.533240225762886	0.523964383547833	4.330701360829423
7800	CH	IS	0.533240225762886	0.523964383547833	4.3800479801076015
7900	CH	IS	0.533240225762886	0.523964383547833	4.429303191665988
8000	CH	IS	0.533240225762886	0.523964383547833	4.478467249332155
8100	CH	IS	0.533240225762886	0.523964383547833	4.5275404059946345
8200	CH	IS	0.533240225762886	0.523964383547833	4.576522913607256
8300	CH	IS	0.533240225762886	0.523964383547833	4.625415023193464
8400	CH	IS	0.533240225762886	0.523964383547833	4.674216984850603
8500	CH	IS	0.533240225762886	0.523964383547833	4.722929047754189
0	CH	WIS	0.533240225762886	0.523964383547833	0.23448639521142184
