N	K	CI	Weighting	Result
100	1	CH	IS	0.6059658661462388
100	1	CH	WIS	0.9924101780883587
100	1	AM	IS	0.03886623343418489
100	1	AM	WIS	0.0006739999498146521
100	10	CH	IS	5.570712697326749
100	10	CH	WIS	1.004869776858243
100	10	AM	IS	0.3644576250824443
100	10	AM	WIS	0.006320252808420523
1000	1	CH	IS	0.05872247953179912
1000	1	CH	WIS	0.9918221296281517
1000	1	AM	IS	0.001237340582275856
1000	1	AM	WIS	2.1457378723721554e-05
1000	10	CH	IS	0.5820168220595459
1000	10	CH	WIS	0.999366258906387
1000	10	AM	IS	0.01229058217238022
1000	10	AM	WIS	0.00021313749842533092
1000	20	CH	IS	1.1526754410566225
1000	20	CH	WIS	0.9999682353818847
1000	20	AM	IS	0.024399974564559827
1000	20	AM	WIS	0.00042313288885698075
1000	30	CH	IS	1.7123058955074788
1000	30	CH	WIS	1.0002923676460382
1000	30	AM	IS	0.03633258574866686
1000	30	AM	WIS	0.000630062622680061
1000	40	CH	IS	2.2612255489149713
1000	40	CH	WIS	1.0005449908118307
1000	40	AM	IS	0.04809267557125999
1000	40	AM	WIS	0.0008340005721514387
1000	50	CH	IS	2.799739692716241
1000	50	CH	WIS	1.0007674502066564
1000	50	AM	IS	0.38402066658917466
1000	50	AM	WIS	0.0010350181411993287
1000	60	CH	IS	3.328142115127728
1000	60	CH	WIS	1.0009735721648358
1000	60	AM	IS	0.9130343991537079
1000	60	AM	WIS	0.001233184370461271
1000	70	CH	IS	3.8467156381171654
1000	70	CH	WIS	1.001169316699398
1000	70	AM	IS	1.4322130463515719
1000	70	AM	WIS	0.00142856603690944
1000	80	CH	IS	4.35573262456716
1000	80	CH	WIS	1.00135769225538
1000	80	AM	IS	1.9418290702813135
1000	80	AM	WIS	0.0016212277483906856
1000	90	CH	IS	4.855455457543461
1000	90	CH	WIS	1.0015403943142727
1000	90	AM	IS	2.442144951245414
1000	90	AM	WIS	0.0018112320333855125
1000	100	CH	IS	5.346136993441988
1000	100	CH	WIS	1.0017184609615262
1000	100	AM	IS	2.933413640934459
1000	100	AM	WIS	0.0019986394262685447
10000	1	CH	IS	0.005801212021339178
10000	1	CH	WIS	0.9918034048824365
10000	1	AM	IS	3.9154551907672726e-05
10000	1	AM	WIS	6.789998333589509e-07
10000	10	CH	IS	0.057960040737581875
10000	10	CH	WIS	0.9991803016555061
10000	10	AM	IS	0.00039128144813146433
10000	10	AM	WIS	6.785418938282106e-06
10000	20	CH	IS	0.11580456859195597
10000	20	CH	WIS	0.9995991432814062
10000	20	AM	IS	0.0007819769993661839
10000	20	AM	WIS	1.3560677527890697e-05
10000	30	CH	IS	0.1735339288023885
10000	30	CH	WIS	0.999742894224768
10000	30	AM	IS	0.0011720881143957244
10000	30	AM	WIS	2.0325801099785323e-05
10000	40	CH	IS	0.23114846523334498
10000	40	CH	WIS	0.999817823050238
10000	40	AM	IS	0.0015616162488795967
