N	K	CI	Weighting	Result
100	1	CH	IS	0.03502488532940795
100	1	CH	WIS	0.0006073850967385358
100	1	AM	IS	0.0
100	1	AM	WIS	-0.0006660818650080476
100	1	CH	IS	0.03502488532940795
100	1	CH	WIS	0.0006073850967385358
100	1	AM	IS	0.0
100	1	AM	WIS	-0.0006660818650080476
100	2	CH	IS	0.0695334280490627
100	2	CH	WIS	0.001205816022663217
100	2	AM	IS	0.0
100	2	AM	WIS	-0.0013287091415794539
100	3	CH	IS	0.10353819141518095
100	3	CH	WIS	0.0017955106438575646
100	3	AM	IS	0.0
100	3	AM	WIS	-0.001987931747112265
100	4	CH	IS	0.13705131485577748
100	4	CH	WIS	0.0023766794765756605
100	4	AM	IS	0.0
100	4	AM	WIS	-0.002643798394637324
100	5	CH	IS	0.1700845321784703
100	5	CH	WIS	0.0029495260029933357
100	5	AM	IS	0.0
100	5	AM	WIS	-0.0032963566331954
100	6	CH	IS	0.2026491888312867
100	6	CH	WIS	0.003514246970536969
100	6	AM	IS	0.0
100	6	AM	WIS	-0.003945652886488853
100	7	CH	IS	0.2347562582741256
100	7	CH	WIS	0.004071032675789676
100	7	AM	IS	0.0
100	7	AM	WIS	-0.004591732489896261
100	8	CH	IS	0.26641635751454196
100	8	CH	WIS	0.004620067233905595
100	8	AM	IS	0.0
100	8	AM	WIS	-0.005234639725939289
100	9	CH	IS	0.2976397618577904
100	9	CH	WIS	0.005161528834398174
100	9	AM	IS	0.0
100	9	AM	WIS	-0.005874417858271017
100	10	CH	IS	0.32843641891766584
100	10	CH	WIS	0.005695589984109642
100	10	AM	IS	0.0
100	10	AM	WIS	-0.006511109164268979
1000	1	CH	IS	0.0011150479009298664
1000	1	CH	WIS	1.933663653156531e-05
1000	1	AM	IS	0.0
1000	1	AM	WIS	-2.1112975633648378e-05
1000	10	CH	IS	0.01107584124271499
1000	10	CH	WIS	0.00019207203225355546
1000	10	AM	IS	0.0
1000	10	AM	WIS	-0.00021063358015578236
1000	20	CH	IS	0.021988400615447823
1000	20	CH	WIS	0.0003813125070740997
